build_wave,priority,domain_slug,domain_name,agent_slug,agent_name,status,validation_profile,readiness_state,issue_state
1,high,cybersecurity,Cybersecurity,security-risk-assessment-specialist,Security risk assessment specialist,planned,strict,not_ready,needs-spec
1,high,cybersecurity,Cybersecurity,security-architecture-specialist,Security architecture specialist,in_progress,strict,market-ready,human-review
1,high,cybersecurity,Cybersecurity,vulnerability-management-specialist,Vulnerability management specialist,planned,strict,not_ready,needs-spec
1,high,cybersecurity,Cybersecurity,penetration-testing-specialist,Penetration testing specialist,planned,strict,not_ready,needs-spec
1,high,cybersecurity,Cybersecurity,security-operations-specialist,Security operations specialist,market-ready,strict,market-ready,market-ready
1,high,cybersecurity,Cybersecurity,incident-response-specialist,Incident response specialist,planned,strict,market-ready,market-ready
2,medium,cybersecurity,Cybersecurity,security-governance-and-policy-specialist,Security governance and policy specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,security-controls-mapping-specialist,Security controls mapping specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,regulatory-compliance-security-specialist,Regulatory compliance security specialist,market-ready,strict,market-ready,market-ready
2,medium,cybersecurity,Cybersecurity,third-party-security-review-specialist,Third-party security review specialist,market-ready,strict,market-ready,market-ready
2,medium,cybersecurity,Cybersecurity,web-application-security-specialist,Web application security specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,cloud-security-specialist,Cloud security specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,endpoint-security-specialist,Endpoint security specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,network-security-specialist,Network security specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,identity-security-specialist,Identity security specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,detection-engineering-specialist,Detection engineering specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,digital-forensics-specialist,Digital forensics specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,threat-intelligence-specialist,Threat intelligence specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,security-awareness-and-training-specialist,Security awareness and training specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,data-protection-and-privacy-specialist,Data protection and privacy specialist,market-ready,strict,market-ready,market-ready
2,medium,cybersecurity,Cybersecurity,email-and-collaboration-security-specialist,Email and collaboration security specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,ot-and-industrial-security-specialist,OT and industrial security specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,disaster-recovery-and-cyber-resilience-specialist,Disaster recovery and cyber resilience specialist,planned,strict,not_ready,needs-spec
2,medium,cybersecurity,Cybersecurity,security-documentation-and-audit-evidence-specialist,Security documentation and audit evidence specialist,market-ready,strict,market-ready,market-ready
1,high,software-engineering-and-application-delivery,Software Engineering And Application Delivery,software-architecture-specialist,Software architecture specialist,planned,standard,not_ready,needs-spec
1,high,software-engineering-and-application-delivery,Software Engineering And Application Delivery,backend-engineering-specialist,Backend engineering specialist,planned,standard,not_ready,needs-spec
1,high,software-engineering-and-application-delivery,Software Engineering And Application Delivery,frontend-engineering-specialist,Frontend engineering specialist,planned,standard,not_ready,needs-spec
1,high,software-engineering-and-application-delivery,Software Engineering And Application Delivery,api-design-specialist,API design specialist,planned,standard,not_ready,needs-spec
1,high,software-engineering-and-application-delivery,Software Engineering And Application Delivery,test-automation-specialist,Test automation specialist,planned,standard,not_ready,needs-spec
