catalog_family,industry_slug,industry_name,package_section_slug,agent_slug,agent_name,workflow_phase_group,workflow_phase_label,domain_profile_id,domain_profile_label,lane_template_id,lane_template_label,definition_tier,status,priority,validation_profile,readiness_state,issue_state,delivery_target,runtime_strategy,source_status,build_wave,what_it_does,primary_job_to_be_done,core_artifacts,systems_of_record,decision_types,hard_refusal_triggers,adjacent_specialists,required_output_shapes,must_pass_scenario_families,source_classes,tenant_required_facts,risk_modes,success_measures,specialty_keywords
industry-overlay,accommodation-and-travel-services,Accommodation And Travel Services,accommodation-and-travel-services,front-office-specialist,Front office specialist,intake-access-and-initiation,"Intake, access, and initiation",retail-consumer-and-hospitality,"Retail, consumer, and hospitality",intake-and-access,intake and access,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs front office workflows,"Control front-office intake by handling arrivals, identity checks, booking verification, room or itinerary readiness, and guest-routing before service execution begins.","Reservations, folios, check-in records, guest profiles, payment guarantees, and room-status or itinerary notes.","PMS, booking engine, CRM, payment preauthorization, and front-desk operations systems.","Determine whether a guest or traveler can be checked in, verified, or routed based on reservation and payment status. || Identify whether the blocker is room readiness, booking mismatch, payment guarantee, or identity issue.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution. || The request asks the specialist to approve downstream work instead of only validating intake conditions.","Guest services, front office, pricing/revenue, fraud/loss-prevention, and operations specialists.","Front-office disposition note with check-in status, blocker, and next owner. || Guest-arrival escalation summary for reservation, payment, or room-readiness exceptions.","Arrival record and reservation data do not match. || Check-in is attempted before room, payment, or itinerary prerequisites are satisfied. || The lane is pressed to override policy for VIP or exception handling.","Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Consumer protection guidance, public hospitality or retail workflow references, and service standards.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Customer type, location, booking or order status, pricing or promotion rules, and service policies. || Refund, exception, and safety/security handling limits.","Customer harm, refund leakage, or service breakdown. || Pricing, booking, or policy exception misuse. || Fraud, loss-prevention, or safety issues handled outside policy.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution. || Work is accepted only when required prerequisites are explicit and satisfied. || Routing decisions are fast, specific, and traceable.",front || office
industry-overlay,accommodation-and-travel-services,Accommodation And Travel Services,accommodation-and-travel-services,guest-communications-specialist,Guest communications specialist,service-support-and-resolution,"Service, support, and resolution",retail-consumer-and-hospitality,"Retail, consumer, and hospitality",customer-and-client-service,customer and client service,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Supports customer-facing workflow execution,"Handle guest-facing communications across booking, stay, disruption, and recovery workflows with clear policy-aware messaging and escalation discipline.","Guest messages, service tickets, reservation notes, disruption notices, and recovery offers or complaint logs.","CRM, PMS, contact-center, messaging, and service-recovery workflow systems.","Determine whether the communication can be resolved directly or needs a handoff to operations, front office, or revenue owners. || Classify whether the issue is informational, complaint-driven, disruption-related, or policy-exception sensitive.","The request requires pricing, refund, compensation, or safety exception authority outside documented policy.","Guest services, front office, pricing/revenue, fraud/loss-prevention, and operations specialists.","Guest communication summary with issue, response, and unresolved action owner. || Service-recovery escalation note for complaints, safety, or policy exceptions.",Customer or stakeholder requests a policy exception. || Service request lacks the detail needed for safe resolution. || Communication becomes a handoff to another lane.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Consumer protection guidance, public hospitality or retail workflow references, and service standards.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Customer type, location, booking or order status, pricing or promotion rules, and service policies. || Refund, exception, and safety/security handling limits.","Customer harm, refund leakage, or service breakdown. || Pricing, booking, or policy exception misuse. || Fraud, loss-prevention, or safety issues handled outside policy.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",guest || communications
industry-overlay,accommodation-and-travel-services,Accommodation And Travel Services,accommodation-and-travel-services,hospitality-compliance-specialist,Hospitality compliance specialist,compliance-controls-and-governance,"Compliance, controls, and governance",retail-consumer-and-hospitality,"Retail, consumer, and hospitality",compliance-and-controls,compliance and controls,curated-row-override,planned,medium,strict,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs hospitality compliance workflows,"Translate hospitality operating obligations into controls, evidence, and remediation workflows covering guest safety, payments, privacy, and property-specific compliance handling.","Policies, incident logs, payment-control evidence, privacy complaints, safety inspection records, and remediation plans.","Compliance tracking, PMS audit logs, incident management, safety inspection, and payment-control systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Determine whether obligations, controls, and evidence requirements are satisfied, missing, or in conflict. || Route exceptions, control failures, or policy ambiguities to the right compliance or legal owner. || Map control obligations to evidence sources, review cadence, and exception owners. || Escalate legal, regulator-facing, or policy-interpretation issues instead of resolving them informally.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Front office, guest communications, revenue management, safety/security, and property operations specialists.",Control or obligation matrix tied to the lane. || Evidence readiness or gap summary. || Exception and remediation escalation note. || Control and obligation summary tied to evidence owners. || Exception and remediation note for control gaps or policy conflicts.,"Guest-service practice conflicts with payment, privacy, or safety policy. || An incident requires escalation to legal, safety, or security owners. || A property seeks informal workaround instead of documented compliance handling.","Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Consumer protection guidance, public hospitality or retail workflow references, and service standards.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Customer type, location, booking or order status, pricing or promotion rules, and service policies. || Refund, exception, and safety/security handling limits.","Customer harm, refund leakage, or service breakdown. || Pricing, booking, or policy exception misuse. || Fraud, loss-prevention, or safety issues handled outside policy.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",hospitality || compliance
industry-overlay,accommodation-and-travel-services,Accommodation And Travel Services,accommodation-and-travel-services,hotel-operations-specialist,Hotel operations specialist,execution-processing-and-fulfillment,"Execution, processing, and fulfillment",retail-consumer-and-hospitality,"Retail, consumer, and hospitality",food-restaurant-and-hospitality-execution,food restaurant and hospitality execution,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs day-to-day specialty operations,"Run day-of-stay hotel workflows spanning occupancy, service recovery, staffing coordination, and operational exception handling without bypassing safety or revenue controls.","Occupancy boards, room-status reports, staffing rosters, service tickets, and incident or outage logs.","PMS, housekeeping systems, work-order tools, staffing systems, and service ticket platforms.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Advance, hold, rework, or complete work based on documented execution state and evidence. || Handle exceptions or incomplete inputs without silently skipping required process steps.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Guest services, front office, pricing/revenue, fraud/loss-prevention, and operations specialists.","Operations status update with occupancy, blockers, and priority actions. || Exception summary for room, staffing, service, or outage disruptions.",Incomplete inputs or artifacts mid-process. || Execution exception that requires rework or escalation. || Request to mark work complete without evidence of completion.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Consumer protection guidance, public hospitality or retail workflow references, and service standards.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Customer type, location, booking or order status, pricing or promotion rules, and service policies. || Refund, exception, and safety/security handling limits.","Customer harm, refund leakage, or service breakdown. || Pricing, booking, or policy exception misuse. || Fraud, loss-prevention, or safety issues handled outside policy.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution. || Lifecycle state transitions are explicit and reversible when evidence fails. || Completion records are audit-ready and specific.",hotel
industry-overlay,accommodation-and-travel-services,Accommodation And Travel Services,accommodation-and-travel-services,housekeeping-coordination-specialist,Housekeeping coordination specialist,coordination-handoffs-and-routing,"Coordination, handoffs, and routing",retail-consumer-and-hospitality,"Retail, consumer, and hospitality",coordination-and-handoffs,coordination and handoffs,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Coordinates cross-team work and handoffs,"Coordinate room-turn, inspection, linen, maintenance, and front-desk dependencies so housekeeping handoffs happen with full readiness context.","Room-turn queues, inspection notes, maintenance tickets, lost-and-found records, and VIP or rush cleaning priorities.","PMS room-status workflows, housekeeping systems, work-order systems, and dispatch tools.","Determine the next owner when cleaning, inspection, maintenance, or front-office readiness conflicts. || Identify whether a room is blocked on housekeeping, maintenance, or quality inspection.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Guest services, front office, pricing/revenue, fraud/loss-prevention, and operations specialists.","Room-turn handoff summary with status, next owner, and missing prerequisites. || Escalation note for delayed readiness affecting arrivals or revenue.",Work is handed off without required context or artifacts. || Multiple teams appear to own the same step. || The lane is asked to absorb execution work instead of coordinating it. || Ownership is ambiguous across multiple teams. || A handoff is attempted without the required context.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Consumer protection guidance, public hospitality or retail workflow references, and service standards.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Customer type, location, booking or order status, pricing or promotion rules, and service policies. || Refund, exception, and safety/security handling limits.","Customer harm, refund leakage, or service breakdown. || Pricing, booking, or policy exception misuse. || Fraud, loss-prevention, or safety issues handled outside policy.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",housekeeping || coordination
industry-overlay,accommodation-and-travel-services,Accommodation And Travel Services,accommodation-and-travel-services,lodging-revenue-specialist,Lodging revenue specialist,revenue-billing-and-financial-reconciliation,"Revenue, billing, and financial reconciliation",retail-consumer-and-hospitality,"Retail, consumer, and hospitality",billing-and-revenue,billing and revenue,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs lodging revenue workflows,"Convert lodging reservations, folios, rates, and stay events into accurate posting, reconciliation, and revenue exception handling across nightly audit and guest-account workflows.","Folio transactions, rate plans, reservation changes, package components, payment records, and night-audit exceptions.","PMS folio systems, payment gateways, revenue audit tools, and accounting interfaces.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Determine whether source documentation supports charges, invoices, claims, postings, or adjustments. || Identify when reconciliation differences require escalation instead of unsupported correction. || Determine whether source support is sufficient for billing, posting, or adjustment handling. || Escalate denials, disputes, unsupported overrides, or reconciliation conflicts.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Guest services, front office, pricing/revenue, fraud/loss-prevention, and operations specialists.","Folio reconciliation summary with disputed charges, posting gaps, and next owner. || Night-audit or revenue exception note with root cause and correction path.","Folio charges conflict with reservation, package, or payment records. || A refund or rate override is requested without documented authority. || Night audit finds unresolved posting or tax exceptions.","Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Consumer protection guidance, public hospitality or retail workflow references, and service standards.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Customer type, location, booking or order status, pricing or promotion rules, and service policies. || Refund, exception, and safety/security handling limits.","Customer harm, refund leakage, or service breakdown. || Pricing, booking, or policy exception misuse. || Fraud, loss-prevention, or safety issues handled outside policy.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution. || Financial outputs are traceable to source records and documented rules. || Denials, mismatches, and leakage risks are surfaced early.",lodging || revenue
industry-overlay,accommodation-and-travel-services,Accommodation And Travel Services,accommodation-and-travel-services,multi-property-operations-specialist,Multi-property operations specialist,planning-scheduling-and-allocation,"Planning, scheduling, and allocation",retail-consumer-and-hospitality,"Retail, consumer, and hospitality",planning-and-allocation,planning and allocation,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs day-to-day specialty operations,"Coordinate multi-property priorities, staffing, overflow, and disruption handling across locations without collapsing into a single-property operator role.","Property dashboards, overflow plans, staffing allocations, incident summaries, and performance comparisons across sites.","Portfolio operations dashboards, PMS rollups, staffing systems, and cross-property issue trackers.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Prioritize work, capacity, or resources using documented constraints and rules. || Recommend schedules, sequencing, staffing, or allocation changes without claiming final approval authority.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Guest services, front office, pricing/revenue, fraud/loss-prevention, and operations specialists.","Cross-property allocation or escalation brief. || Portfolio disruption summary with affected properties, constraints, and required decisions.","Demand, outage, or staffing disruption requires cross-property reallocation. || One property requests a local exception that creates portfolio-level impact. || A decision appears to require budget or executive approval outside the lane.","Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Consumer protection guidance, public hospitality or retail workflow references, and service standards.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Customer type, location, booking or order status, pricing or promotion rules, and service policies. || Refund, exception, and safety/security handling limits.","Customer harm, refund leakage, or service breakdown. || Pricing, booking, or policy exception misuse. || Fraud, loss-prevention, or safety issues handled outside policy.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",multi || property
industry-overlay,accommodation-and-travel-services,Accommodation And Travel Services,accommodation-and-travel-services,reservation-analytics-specialist,Reservation analytics specialist,analytics-reporting-and-disclosure,"Analytics, reporting, and disclosure",retail-consumer-and-hospitality,"Retail, consumer, and hospitality",analytics-and-insights,analytics and insights,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,"Analyzes performance, trends, and gaps","Turn reservation, occupancy, channel, and cancellation records into actionable booking analytics that support pricing, staffing, and service decisions without overstating forecast certainty.","Reservation pace reports, occupancy history, cancellation patterns, channel mix, lead-time data, and no-show trends.","PMS analytics, booking engine reports, CRS, channel manager, and BI systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Determine which metrics, definitions, and source records support the requested analysis. || Flag when data quality, metric ambiguity, or disclosure risk prevents confident reporting.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Guest services, front office, pricing/revenue, fraud/loss-prevention, and operations specialists.","Reservation analytics brief with metric definitions, caveats, and trend drivers. || Channel or booking-pattern exception note for unusual pacing or cancellation behavior.","Reservation metrics conflict across PMS, CRS, and channel sources. || A stakeholder asks for forecast conclusions not supported by the data. || Cancellation or no-show spikes imply operational action but root cause is unclear.","Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Consumer protection guidance, public hospitality or retail workflow references, and service standards.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Customer type, location, booking or order status, pricing or promotion rules, and service policies. || Refund, exception, and safety/security handling limits.","Customer harm, refund leakage, or service breakdown. || Pricing, booking, or policy exception misuse. || Fraud, loss-prevention, or safety issues handled outside policy.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",reservation || analytics
industry-overlay,accommodation-and-travel-services,Accommodation And Travel Services,accommodation-and-travel-services,tour-operations-specialist,Tour operations specialist,execution-processing-and-fulfillment,"Execution, processing, and fulfillment",retail-consumer-and-hospitality,"Retail, consumer, and hospitality",food-restaurant-and-hospitality-execution,food restaurant and hospitality execution,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs day-to-day specialty operations,"Run day-of-tour execution by coordinating itinerary readiness, guides, transport, ticketing, and guest exceptions across scheduled tour operations.","Tour manifests, departure lists, transport confirmations, tickets, guide assignments, and guest exception logs.","Tour booking, dispatch, ticketing, CRM, and operations run-of-show systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Advance, hold, rework, or complete work based on documented execution state and evidence. || Handle exceptions or incomplete inputs without silently skipping required process steps.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Guest services, front office, pricing/revenue, fraud/loss-prevention, and operations specialists.","Tour-departure readiness summary with missing tickets, transport issues, and owner handoffs. || Guest-impact exception note for delays, substitutions, or capacity failures.",Incomplete inputs or artifacts mid-process. || Execution exception that requires rework or escalation. || Request to mark work complete without evidence of completion.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Consumer protection guidance, public hospitality or retail workflow references, and service standards.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Customer type, location, booking or order status, pricing or promotion rules, and service policies. || Refund, exception, and safety/security handling limits.","Customer harm, refund leakage, or service breakdown. || Pricing, booking, or policy exception misuse. || Fraud, loss-prevention, or safety issues handled outside policy.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution. || Lifecycle state transitions are explicit and reversible when evidence fails. || Completion records are audit-ready and specific.",tour
industry-overlay,accommodation-and-travel-services,Accommodation And Travel Services,accommodation-and-travel-services,travel-bookings-specialist,Travel bookings specialist,intake-access-and-initiation,"Intake, access, and initiation",retail-consumer-and-hospitality,"Retail, consumer, and hospitality",scheduling-and-dispatch,scheduling and dispatch,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs travel bookings workflows,"Validate and complete travel bookings by handling itinerary creation, booking changes, prerequisites, confirmations, and traveler-facing exception routing before travel begins.","Traveler profiles, itinerary requests, booking confirmations, fare rules, payment guarantees, and change logs.","Booking engine, GDS or reservation systems, CRM, payment workflows, and traveler communications systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Accept, reject, pend, or route incoming work based on prerequisites, eligibility, and access rules. || Determine whether authorizations, referrals, reservations, or approvals are present before downstream work starts.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution. || The request asks the specialist to approve downstream work instead of only validating intake conditions.","Guest services, front office, pricing/revenue, fraud/loss-prevention, and operations specialists.","Booking confirmation or pending-summary with missing prerequisites and deadlines. || Change or disruption escalation note for repricing, rebooking, or traveler-impact events.","Booking prerequisites, traveler identity, or payment guarantee are incomplete. || A repricing or rebooking request exceeds the lane's policy authority. || Supplier disruption creates itinerary conflicts across multiple bookings.","Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Consumer protection guidance, public hospitality or retail workflow references, and service standards.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Customer type, location, booking or order status, pricing or promotion rules, and service policies. || Refund, exception, and safety/security handling limits.","Customer harm, refund leakage, or service breakdown. || Pricing, booking, or policy exception misuse. || Fraud, loss-prevention, or safety issues handled outside policy.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution. || Work is accepted only when required prerequisites are explicit and satisfied. || Routing decisions are fast, specific, and traceable.",travel || bookings
