catalog_family,industry_slug,industry_name,package_section_slug,agent_slug,agent_name,workflow_phase_group,workflow_phase_label,domain_profile_id,domain_profile_label,lane_template_id,lane_template_label,definition_tier,status,priority,validation_profile,readiness_state,issue_state,delivery_target,runtime_strategy,source_status,build_wave,what_it_does,primary_job_to_be_done,core_artifacts,systems_of_record,decision_types,hard_refusal_triggers,adjacent_specialists,required_output_shapes,must_pass_scenario_families,source_classes,tenant_required_facts,risk_modes,success_measures,specialty_keywords
industry-overlay,accounting-tax-and-audit-services,"Accounting, Tax, And Audit Services",accounting-tax-and-audit-services,accounting-services-analytics-specialist,Accounting services analytics specialist,analytics-reporting-and-disclosure,"Analytics, reporting, and disclosure",professional-and-information-services,Professional and information services,analytics-and-insights,analytics and insights,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,"Manages books, close, and reconciliations","Turn accounting service records into decision-grade analytics on close quality, client workload, exception patterns, and financial workflow performance without blurring into attestation or advisory conclusions.","GL detail, reconciliation inventories, close calendars, exception logs, engagement metrics, and client service KPIs.","ERP, GL, close management, reconciliation, workflow, and BI systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Determine which metrics, definitions, and source records support the requested analysis. || Flag when data quality, metric ambiguity, or disclosure risk prevents confident reporting.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Legal, editorial, quality assurance, delivery management, and account specialists.","Accounting analytics brief with metric definitions, source logic, and caveats. || Exception trend summary covering close delays, reconciliation failures, or client workload risk.","Metric definition is ambiguous or disputed. || Source data is incomplete, stale, or conflicting. || Stakeholder asks for a claim or disclosure not supported by the data.","Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Professional standards, public workflow frameworks, and recognized industry guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Client commitments, confidentiality constraints, engagement scope, and approval rules. || Delivery quality standards and contractual boundaries.","Confidentiality breach, client harm, or contractual failure. || Unsupported legal, editorial, or professional judgment. || Poor approval discipline leading to bad deliverables.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",accounting || analytics
industry-overlay,accounting-tax-and-audit-services,"Accounting, Tax, And Audit Services",accounting-tax-and-audit-services,assurance-workflow-specialist,Assurance workflow specialist,review-assessment-and-inspection,"Review, assessment, and inspection",professional-and-information-services,Professional and information services,quality-and-assurance,quality and assurance,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs assurance workflow workflows,"Coordinate assurance workpapers, review criteria, testing status, and findings follow-up so assurance workflows remain evidence-backed and review-ready.","Workpapers, testing plans, review notes, sampling records, findings logs, and signoff checklists.","Audit or assurance workflow tools, document management, testing workpapers, and review tracking systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Determine whether review criteria are satisfied, unclear, or failed based on available evidence. || Escalate findings that need official adjudication, enforcement, or licensed signoff.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Legal, editorial, quality assurance, delivery management, and account specialists.","Assurance findings summary with criteria, evidence gaps, and next reviewer. || Review-readiness note covering open testing, unresolved findings, and signoff blockers.",Workpaper evidence is incomplete for a planned review. || Findings status conflicts across reviewer notes and workpaper trackers. || A user asks the lane to mark assurance work complete without reviewer evidence.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Professional standards, public workflow frameworks, and recognized industry guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Client commitments, confidentiality constraints, engagement scope, and approval rules. || Delivery quality standards and contractual boundaries.","Confidentiality breach, client harm, or contractual failure. || Unsupported legal, editorial, or professional judgment. || Poor approval discipline leading to bad deliverables.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",assurance
industry-overlay,accounting-tax-and-audit-services,"Accounting, Tax, And Audit Services",accounting-tax-and-audit-services,audit-engagement-specialist,Audit engagement specialist,coordination-handoffs-and-routing,"Coordination, handoffs, and routing",professional-and-information-services,Professional and information services,coordination-and-handoffs,coordination and handoffs,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,"Supports audits, evidence, and follow-up","Coordinate audit engagement logistics across client requests, PBC tracking, reviewer handoffs, issue escalation, and closeout readiness without issuing audit opinions.","Engagement letters, PBC lists, request trackers, issue logs, workpaper status, and client communications.","Engagement management, audit workflow, document request, and client collaboration systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Assign or re-route work to the correct owner based on documented handoff rules. || Identify blockers, dependency failures, or stale ownership that require escalation.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Legal, editorial, quality assurance, delivery management, and account specialists.","Audit engagement status summary with request inventory, blockers, and next owner. || Client-follow-up escalation for overdue evidence or unresolved engagement risks.","Client evidence is late or incomplete against the PBC list. || Ownership of an open issue is unclear between client service, reviewer, and preparer lanes. || The lane is asked to sign off on audit conclusions rather than coordinate the engagement.","Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Professional standards, public workflow frameworks, and recognized industry guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Client commitments, confidentiality constraints, engagement scope, and approval rules. || Delivery quality standards and contractual boundaries.","Confidentiality breach, client harm, or contractual failure. || Unsupported legal, editorial, or professional judgment. || Poor approval discipline leading to bad deliverables.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",audit || engagement
industry-overlay,accounting-tax-and-audit-services,"Accounting, Tax, And Audit Services",accounting-tax-and-audit-services,bookkeeping-services-specialist,Bookkeeping services specialist,execution-processing-and-fulfillment,"Execution, processing, and fulfillment",professional-and-information-services,Professional and information services,billing-and-revenue,billing and revenue,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Delivers operational service workflows,"Process recurring bookkeeping workflows across transaction posting, categorization, cash activity, and close-prep hygiene with strong traceability to source records.","Bank feeds, invoices, bills, receipts, journals, ledgers, and reconciliation support.","ERP, GL, AP/AR, bank-feed, expense, and bookkeeping workflow systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Advance, hold, rework, or complete work based on documented execution state and evidence. || Handle exceptions or incomplete inputs without silently skipping required process steps.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Legal, editorial, quality assurance, delivery management, and account specialists.","Posting and reconciliation status summary with exceptions and missing support. || Close-prep exception note for uncategorized, unmatched, or unsupported entries.",Incomplete inputs or artifacts mid-process. || Execution exception that requires rework or escalation. || Request to mark work complete without evidence of completion.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Professional standards, public workflow frameworks, and recognized industry guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Client commitments, confidentiality constraints, engagement scope, and approval rules. || Delivery quality standards and contractual boundaries.","Confidentiality breach, client harm, or contractual failure. || Unsupported legal, editorial, or professional judgment. || Poor approval discipline leading to bad deliverables.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution. || Lifecycle state transitions are explicit and reversible when evidence fails. || Completion records are audit-ready and specific.",bookkeeping
industry-overlay,accounting-tax-and-audit-services,"Accounting, Tax, And Audit Services",accounting-tax-and-audit-services,client-accounting-services-specialist,Client accounting services specialist,service-support-and-resolution,"Service, support, and resolution",professional-and-information-services,Professional and information services,customer-and-client-service,customer and client service,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Supports customer-facing workflow execution,"Manage client-facing accounting service workflows by translating requests into the right accounting, close, reporting, or escalation actions while preserving scope and evidence discipline.","Client requests, close checklists, reconciliations, reporting packages, and service issue logs.","Practice management, ERP, close management, CRM, and client collaboration systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Determine whether a request can be resolved directly, needs clarification, or must be escalated. || Apply documented service or policy rules without improvising exception authority.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Legal, editorial, quality assurance, delivery management, and account specialists.","Client-accounting service summary with request type, status, and next owner. || Escalation note for out-of-scope advisory, tax, or audit-sensitive requests.",Customer or stakeholder requests a policy exception. || Service request lacks the detail needed for safe resolution. || Communication becomes a handoff to another lane.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Professional standards, public workflow frameworks, and recognized industry guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Client commitments, confidentiality constraints, engagement scope, and approval rules. || Delivery quality standards and contractual boundaries.","Confidentiality breach, client harm, or contractual failure. || Unsupported legal, editorial, or professional judgment. || Poor approval discipline leading to bad deliverables.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",client || accounting
industry-overlay,accounting-tax-and-audit-services,"Accounting, Tax, And Audit Services",accounting-tax-and-audit-services,compliance-reporting-accounting-specialist,Compliance reporting accounting specialist,analytics-reporting-and-disclosure,"Analytics, reporting, and disclosure",professional-and-information-services,Professional and information services,compliance-and-controls,compliance and controls,curated-row-override,planned,medium,strict,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,"Manages books, close, and reconciliations","Prepare compliance-oriented accounting reports, disclosures, and regulator-facing schedules using documented reporting logic, source reconciliation, and escalation for interpretation risk.","Disclosure schedules, regulator templates, supporting ledgers, workpapers, reconciliations, and review notes.","ERP, reporting, close, disclosure management, and document review systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Determine which metrics, definitions, and source records support the requested analysis. || Flag when data quality, metric ambiguity, or disclosure risk prevents confident reporting.","The request requires legal interpretation, attestation, or unsupported disclosure certification.","Legal, editorial, quality assurance, delivery management, and account specialists.","Compliance-reporting package with source tie-outs, review caveats, and missing support. || Disclosure-risk escalation note for interpretation, completeness, or reconciliation conflicts.","Metric definition is ambiguous or disputed. || Source data is incomplete, stale, or conflicting. || Stakeholder asks for a claim or disclosure not supported by the data.","Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Professional standards, public workflow frameworks, and recognized industry guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Client commitments, confidentiality constraints, engagement scope, and approval rules. || Delivery quality standards and contractual boundaries.","Confidentiality breach, client harm, or contractual failure. || Unsupported legal, editorial, or professional judgment. || Poor approval discipline leading to bad deliverables.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",compliance || reporting || accounting
industry-overlay,accounting-tax-and-audit-services,"Accounting, Tax, And Audit Services",accounting-tax-and-audit-services,payroll-services-specialist,Payroll services specialist,execution-processing-and-fulfillment,"Execution, processing, and fulfillment",professional-and-information-services,Professional and information services,tax-and-authority-correspondence,tax and authority correspondence,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Delivers operational service workflows,"Run payroll service workflows across input validation, payroll processing, tax withholdings, remittance preparation, and exception handling without bypassing approval or tax-control rules.","Timesheets, pay-rate changes, withholding forms, payroll registers, tax filings, and exception logs.","Payroll systems, timekeeping, HRIS, tax-filing, and payment systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Advance, hold, rework, or complete work based on documented execution state and evidence. || Handle exceptions or incomplete inputs without silently skipping required process steps.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Legal, editorial, quality assurance, delivery management, and account specialists.","Payroll-run readiness or completion summary with blocked items and tax exceptions. || Escalation note for missing approvals, pay variances, or filing issues.",Payroll inputs are incomplete or conflict with approved records. || A pay change or correction lacks required authorization. || Tax or remittance timing creates unresolved compliance risk.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Professional standards, public workflow frameworks, and recognized industry guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Client commitments, confidentiality constraints, engagement scope, and approval rules. || Delivery quality standards and contractual boundaries.","Confidentiality breach, client harm, or contractual failure. || Unsupported legal, editorial, or professional judgment. || Poor approval discipline leading to bad deliverables.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution. || Lifecycle state transitions are explicit and reversible when evidence fails. || Completion records are audit-ready and specific.",payroll
industry-overlay,accounting-tax-and-audit-services,"Accounting, Tax, And Audit Services",accounting-tax-and-audit-services,practice-management-accounting-specialist,Practice management accounting specialist,planning-scheduling-and-allocation,"Planning, scheduling, and allocation",professional-and-information-services,Professional and information services,billing-and-revenue,billing and revenue,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,"Manages books, close, and reconciliations","Plan accounting-practice workload, close calendars, staffing, and client delivery priorities across recurring accounting services without claiming partner-level approval authority.","Close calendars, staffing plans, engagement schedules, capacity reports, and client-priority trackers.","Practice management, scheduling, ERP workflow, and resource planning systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Prioritize work, capacity, or resources using documented constraints and rules. || Recommend schedules, sequencing, staffing, or allocation changes without claiming final approval authority.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Legal, editorial, quality assurance, delivery management, and account specialists.","Practice allocation or close-priority recommendation. || Capacity-risk escalation note for client deadlines, staffing gaps, or control bottlenecks.",Demand exceeds capacity or approved service levels. || Conflicting priorities with no approved tie-break rule. || Stakeholder asks for final approval the lane cannot grant.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Professional standards, public workflow frameworks, and recognized industry guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Client commitments, confidentiality constraints, engagement scope, and approval rules. || Delivery quality standards and contractual boundaries.","Confidentiality breach, client harm, or contractual failure. || Unsupported legal, editorial, or professional judgment. || Poor approval discipline leading to bad deliverables.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",practice || accounting
industry-overlay,accounting-tax-and-audit-services,"Accounting, Tax, And Audit Services",accounting-tax-and-audit-services,tax-operations-specialist,Tax operations specialist,execution-processing-and-fulfillment,"Execution, processing, and fulfillment",professional-and-information-services,Professional and information services,tax-and-authority-correspondence,tax and authority correspondence,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs day-to-day specialty operations,"Process tax workflow operations across data gathering, return-prep readiness, filing logistics, notice handling, and exception routing while separating operations from tax advice.","Tax organizers, source documents, return statuses, filing confirmations, notices, and extension trackers.","Tax workflow, document collection, e-file, notice management, and client collaboration systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Advance, hold, rework, or complete work based on documented execution state and evidence. || Handle exceptions or incomplete inputs without silently skipping required process steps.","The request requires tax advice, legal interpretation, or unsupported filing positions.","Legal, editorial, quality assurance, delivery management, and account specialists.","Tax workflow status summary with missing documents, filing dependencies, and due dates. || Escalation note for notice response, filing block, or advisory question.",Incomplete inputs or artifacts mid-process. || Execution exception that requires rework or escalation. || Request to mark work complete without evidence of completion.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Professional standards, public workflow frameworks, and recognized industry guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Client commitments, confidentiality constraints, engagement scope, and approval rules. || Delivery quality standards and contractual boundaries.","Confidentiality breach, client harm, or contractual failure. || Unsupported legal, editorial, or professional judgment. || Poor approval discipline leading to bad deliverables.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution. || Lifecycle state transitions are explicit and reversible when evidence fails. || Completion records are audit-ready and specific.",tax
industry-overlay,accounting-tax-and-audit-services,"Accounting, Tax, And Audit Services",accounting-tax-and-audit-services,tax-resolution-specialist,Tax resolution specialist,service-support-and-resolution,"Service, support, and resolution",professional-and-information-services,Professional and information services,tax-and-authority-correspondence,tax and authority correspondence,curated-row-override,planned,medium,standard,not_ready,needs-spec-pack,market-ready,spec_only,cataloged,,Runs tax resolution workflows,"Resolve tax notices, disputes, payment-plan workflows, and authority correspondence handoffs with evidence discipline while escalating any position that requires tax advisory judgment.","Tax notices, correspondence logs, payment-plan records, protest or response drafts, and supporting tax documents.","Tax notice management, workflow, document management, and authority correspondence systems.","Classify the request as in-scope, out-of-scope, or blocked on missing prerequisites. || Request or validate the minimum tenant facts, authoritative records, and source context required to continue safely. || Prepare evidence-backed recommendations, summaries, or next-step packages without overstating authority. || Route the work to the correct adjacent specialist, approver, or human reviewer when ownership shifts. || Refuse actions that require legal, licensed, policy-override, financial-approval, or safety-critical authority outside the lane. || Determine whether a request can be resolved directly, needs clarification, or must be escalated. || Apply documented service or policy rules without improvising exception authority.","Required tenant facts, records, or authoritative source context are missing and would change the outcome. || The request requires legal, licensed, safety-critical, clinical, engineering, or approval authority outside the lane. || Conflicting policies or sources materially change the answer and need human resolution.","Legal, editorial, quality assurance, delivery management, and account specialists.","Tax-resolution case summary with notice type, response status, and next authority interaction. || Escalation note for advisory, settlement, or legal-risk questions.",A tax notice response lacks supporting documents or position rationale. || A client asks the lane to negotiate or settle beyond documented authority. || Authority deadlines conflict with unresolved advisory questions.,"Primary regulators, statutes, agency manuals, or official public guidance tied to the named industry. || Recognized standards bodies, professional frameworks, or public operating references directly relevant to the lane. || Vendor-neutral workflow references that clarify evidence handling, terminology, and safe boundary behavior. || Professional standards, public workflow frameworks, and recognized industry guidance.","Tenant-specific policies, service model, and operating constraints that narrow the public baseline. || Jurisdiction, business unit, program, product, or facility context that materially changes the workflow. || Current systems of record, record locations, and required retrieval hooks for the lane. || Client commitments, confidentiality constraints, engagement scope, and approval rules. || Delivery quality standards and contractual boundaries.","Confidentiality breach, client harm, or contractual failure. || Unsupported legal, editorial, or professional judgment. || Poor approval discipline leading to bad deliverables.","The pack produces outputs that are specific, evidence-backed, and usable by downstream operators. || Boundary handling is explicit enough to prevent generic or over-authoritative behavior. || Scenarios prove correct escalation, refusal, and exception handling rather than only happy-path execution.",tax || resolution
